"Run one: Time (s)","Run one: Temperature (°C)","Run one: Temperature 2 (°C)"
0,51.0866235515,51.6786387374
1,51.0266589563,51.5858171198
2,50.9967018175,51.6180020133
3,50.9967018175,51.4931585806
4,50.8135781376,51.3704941529
5,50.8751726178,50.9125369446
6,50.8751726178,51.0959990931
7,50.8434333299,50.8807756123
8,50.8751726178,50.9424471186
9,50.8751726178,50.9125369446
10,50.8135781376,50.8807756123
11,50.7520539657,50.8508997143
12,50.8434333299,50.8807756123
13,50.9050620018,51.0341508587
14,50.8434333299,50.7911975916
15,50.7222492876,50.6087693888
16,50.6626891851,50.5177851484
17,50.6013363837,50.3658654069
18,50.5716145446,50.5790434782
19,50.510364587,50.2771326122
20,50.4195447318,50.0964147003
21,50.2697447048,49.9768773852
22,50.4195447318,50.1258790876
23,50.4195447318,50.0356941459
24,50.3899220226,49.9768773852
25,50.4806924619,49.9456564373
26,50.3307247879,49.9768773852
27,50.5716145446,50.0062779318
28,50.4195447318,49.9162881086
29,50.510364587,49.9456564373
30,50.2402030354,49.7678493084
31,50.2402030354,49.70748777
32,50.1793235637,49.678245104
33,50.1498305294,49.6179804834
34,50.2106772789,49.4994671422
35,50.0596063775,49.4102916768
36,49.7605292698,49.1436092107
37,49.8795995952,49.2323635487
38,50.0301774109,49.3503143588
39,50.0007641368,49.2922154597
40,49.940148688,49.2631884314
41,49.9107832817,49.1436092107
42,50.0301774109,49.3503143588
43,50.0890510675,49.2323635487
44,50.1498305294,49.3212574258
45,49.8502662654,49.0857221176
46,49.8209484412,49.0857221176
47,49.8209484412,49.0260877694
48,49.7916460925,48.9971966296
49,49.6727638115,48.9683201342
50,49.6125051059,48.8493587745
51,49.5231497485,48.7629964964
52,49.6727638115,48.9088084912
53,49.6417133241,48.8493587745
54,49.6727638115,48.8205568868
55,49.6417133241,48.8799766678
56,49.6417133241,48.9088084912
57,49.6727638115,48.8493587745
58,49.6417133241,48.8799766678
59,49.5231497485,48.7324410057
60,49.4648720845,48.6749688158
61,49.5231497485,48.7036977321
62,49.4339366764,48.6444600423
63,49.4940033459,48.6749688158
64,49.2577475242,48.5279574249
65,49.0224755751,48.23683046
66,49.226925608,48.3831047271
67,49.3158109179,48.5279574249
68,49.3757514758,48.5566131964
69,49.2867717549,48.5279574249
70,49.2577475242,48.4993158409
71,49.3158109179,48.5566131964
72,49.3158109179,48.4706884168
73,49.4048365506,48.5870755297
74,49.3158109179,48.7036977321
75,49.1979320836,48.3831047271
76,49.1689534028,48.3831047271
77,49.1399895366,48.3241940909
78,49.1689534028,48.2956527991
79,49.0224755751,48.2083318518
80,49.0513795522,48.2671254727
81,48.991781172,48.0926987322
82,48.8169576689,48.0056795205
83,48.991781172,48.1211411092
84,48.9629074194,48.0624937979
85,48.9629074194,48.0926987322
86,48.9340482774,48.0624937979
87,48.9629074194,48.1211411092
88,49.0224755751,48.0624937979
89,49.0513795522,48.2671254727
90,49.0513795522,48.2956527991
91,49.0513795522,48.0624937979
92,48.8745723193,47.9772929332
93,48.8745723193,47.9772929332
94,48.8169576689,48.0340797998
95,48.8169576689,47.9772929332
96,48.7863734382,47.9772929332
97,48.7288473103,47.9187887261
98,48.5530304481,47.7754324928
99,48.5530304481,47.8037222886
100,48.436711704,47.6588792654
101,48.436711704,47.6888787246
102,48.6695837401,47.8037222886
103,48.6408718368,47.7453893521
104,48.61217423,47.7754324928
105,48.6695837401,47.7453893521
106,48.61217423,47.6888787246
107,48.61217423,47.7754324928
108,48.5816986563,47.7171273262
109,48.6695837401,47.7453893521
110,48.61217423,47.8037222886
111,48.61217423,47.8603424191
112,48.7576031694,47.9471471571
113,48.7288473103,47.7754324928
114,48.495736639,47.6588792654
115,48.4653223489,47.6588792654
116,48.4653223489,47.5724945815
117,48.495736639,47.5443143724
118,48.436711704,47.516147429
119,48.436711704,47.516147429
120,48.3491791986,47.4299684184
121,48.3491791986,47.3719990999
122,48.1460395088,47.2877795795
123,48.1460395088,47.2877795795
124,48.1460395088,47.2019264714
125,48.3206256648,47.343912851
126,48.2617781515,47.315839686
127,48.2920861201,47.2877795795
128,48.2617781515,47.315839686
129,48.3206256648,47.315839686
130,48.2047705025,47.2299467433
131,48.2617781515,47.4018551038
132,48.2332673739,47.4299684184
133,48.3777467488,47.516147429
134,48.5243764516,47.5443143724
135,48.436711704,47.4299684184
136,48.1460395088,47.2579799963
137,48.1460395088,47.2299467433
138,48.1460395088,47.2019264714
139,48.1175850579,47.2299467433
140,48.1175850579,47.2299467433
141,48.089144404,47.2019264714
142,48.1175850579,47.0864795242
143,48.0021304488,47.0585253877
144,48.0305290152,47.0864795242
145,47.9737455712,47.0585253877
146,48.0589412969,47.0026555739
147,47.8585722203,46.8597220118
148,47.9737455712,47.0305840792
149,47.9737455712,47.0585253877
150,47.9737455712,47.0585253877
151,47.9737455712,47.0585253877
152,47.9152448798,47.0026555739
153,47.8869017594,47.0585253877
154,47.8869017594,46.9729955378
155,47.9737455712,47.0585253877
156,47.9152448798,47.0305840792
157,48.0021304488,47.0585253877
158,48.1762875104,47.2579799963
159,48.0305290152,47.0585253877
160,47.8869017594,47.0026555739
161,47.8284869367,46.8597220118
162,47.8001853261,46.9450933609
163,47.7718972165,46.8597220118
164,47.8284869367,46.8597220118
165,47.7718972165,46.8318713867
166,47.7718972165,46.8318713867
167,47.7718972165,46.7744693254
168,47.685348592,46.8040333891
169,47.7418558639,46.7188578171
170,47.685348592,46.7188578171
171,47.6571150617,46.6615609345
172,47.3421578951,46.6337997485
173,47.4563366039,46.6893345989
174,47.5126274926,46.4069712903
175,47.54255355,46.5211477468
176,47.5126274926,46.5211477468
177,47.5989255986,46.6615609345
178,47.6271315836,46.6893345989
179,47.6571150617,46.6337997485
180,47.6271315836,46.6615609345
181,47.5707329293,46.604317134
182,47.6571150617,46.604317134
183,47.5707329293,46.604317134
184,47.54255355,46.604317134
185,47.5707329293,46.6893345989
186,47.5707329293,46.6893345989
187,47.7135955174,46.6893345989
188,47.6271315836,46.8040333891
189,47.5989255986,46.7744693254
190,47.5707329293,46.7744693254
191,47.5989255986,46.7744693254
192,47.4563366039,46.6337997485
193,47.4563366039,46.6337997485
194,47.4563366039,46.604317134
195,47.3983418636,46.5765816085
196,47.4264535348,46.5765816085
197,47.4264535348,46.5211477468
198,47.3702433255,46.5488584874
199,47.3421578951,46.5211477468
200,47.3421578951,46.4917186235
201,47.3421578951,46.5765816085
202,47.3702433255,46.5488584874
203,47.2281950962,46.3516881918
204,47.3123314591,46.3223389237
205,47.2562275372,46.2947286497
206,47.1424263808,46.2671305374
207,47.2562275372,46.2395445632
208,47.0847320144,46.2671305374
209,47.1704191509,46.3223389237
210,47.1126981997,46.1826867253
211,47.1126981997,46.1551377777
212,47.0567786803,46.210247739
213,47.2281950962,46.3223389237
214,47.1984248489,46.3516881918
215,47.1704191509,46.3223389237
216,47.1704191509,46.2947286497
217,47.2281950962,46.2947286497
218,47.1424263808,46.2947286497
219,47.1704191509,46.2947286497
220,47.1424263808,46.2671305374
221,47.1126981997,46.2947286497
222,47.1424263808,46.3223389237
223,47.1126981997,46.210247739
224,47.0847320144,46.210247739
225,47.2281950962,46.3223389237
226,47.1126981997,46.1258802155
227,47.1126981997,46.2395445632
228,46.9991654098,46.0708439398
229,47.1704191509,46.1826867253
230,47.1424263808,46.1551377777
231,47.0567786803,46.1551377777
232,47.1704191509,46.4640333419
233,47.1424263808,46.2947286497
234,47.1424263808,46.2671305374
235,47.1424263808,46.210247739
236,46.9712512784,46.0708439398
237,47.0567786803,46.0708439398
238,46.9991654098,46.0433437705
239,46.9433498976,46.0141379316
240,46.9433498976,45.9866623796
241,46.9154612427,45.9866623796
242,46.9154612427,45.9866623796
243,46.9154612427,45.959198728
244,46.9154612427,45.9866623796
245,46.8579809773,45.902592431
246,46.9433498976,45.9300316114
247,46.8579809773,45.9300316114
248,46.8579809773,45.9300316114
249,46.8579809773,45.791242166
250,46.74491946,45.791242166
251,46.7727307052,45.902592431
252,46.7727307052,45.7638626371
253,46.7727307052,45.7347847219
254,46.8005545261,45.7074293276
255,46.74491946,45.7347847219
256,46.6598254951,45.6237259112
257,46.6025832998,45.6237259112
258,46.6875983789,45.7638626371
259,46.6320650882,45.6510456476
260,46.6025832998,45.6510456476
261,46.717120766,45.5964177722
262,46.4346312146,45.5401312664
263,46.4623034206,45.5128585044
264,46.4899879323,45.5691212082
265,46.5748485502,45.5128585044
266,46.4069712903,45.4855972486
267,46.4069712903,45.4855972486
268,46.5471262037,45.5401312664
269,46.5194162361,45.6510456476
270,46.5748485502,45.6237259112
271,46.5748485502,45.6237259112
272,46.5194162361,45.6237259112
273,46.4899879323,45.5964177722
274,46.5194162361,45.6237259112
275,46.4623034206,45.5691212082
276,46.4899879323,45.5691212082
277,46.4623034206,45.5401312664
278,46.4069712903,45.5691212082
279,46.4346312146,45.5128585044
280,46.4069712903,45.4294071511
281,46.210247739,45.34606307
282,46.4069712903,45.1796941743
283,46.2654060587,45.2628256228
284,46.2378208423,45.3188718015
285,46.2378208423,45.2628256228
286,46.3223389237,45.2356690358
287,46.1534163685,45.2085237286
288,46.2930034116,45.4294071511
289,46.0691248287,45.0695802501
290,46.1809645628,45.2628256228
291,46.0691248287,45.2085237286
292,46.210247739,45.4021809933
293,46.210247739,45.2356690358
294,45.984945553,45.1254611626
295,46.0691248287,45.3188718015
296,46.210247739,45.1525720622
297,46.0983560804,45.1796941743
298,46.1258802155,45.2085237286
299,46.1809645628,45.2356690358
300,46.1809645628,45.2356690358
301,46.1809645628,45.2628256228
302,46.1809645628,45.2628256228
303,46.1534163685,45.2356690358
304,46.1534163685,45.2356690358
305,46.1258802155,45.2085237286
306,46.0983560804,45.2356690358
307,46.1258802155,45.2085237286
308,46.0983560804,45.2085237286
309,46.0691248287,45.2085237286
310,46.2378208423,45.3188718015
311,46.210247739,45.3188718015
312,46.2378208423,45.4021809933
313,46.0983560804,45.3188718015
314,46.0141379316,45.1525720622
315,46.210247739,45.34606307
316,46.2930034116,45.1796941743
317,46.0983560804,45.2356690358
318,46.0691248287,45.2085237286
319,45.902592431,45.0695802501
320,45.902592431,45.0425035529
321,45.902592431,45.0425035529
322,45.902592431,45.0154379797
323,45.902592431,44.9866929724
324,45.8734512631,45.0154379797
325,45.8734512631,44.9866929724
326,45.8734512631,44.9596502737
327,45.791242166,44.8499027904
328,45.6237259112,44.9039096054
329,45.678377004,44.6292680566
330,45.7621518057,44.7672898351
331,45.7074293276,44.9039096054
332,45.7347847219,44.8229158487
333,45.678377004,44.8769007021
334,45.8734512631,44.8769007021
335,45.7621518057,44.8499027904
336,45.7621518057,44.8229158487
337,45.7347847219,44.8229158487
338,45.7621518057,44.8499027904
339,45.7347847219,44.8499027904
340,45.7347847219,44.8229158487
341,45.7074293276,44.7672898351
342,45.7347847219,44.7672898351
343,45.7074293276,44.8499027904
344,45.791242166,45.0425035529
345,45.8460364561,44.9866929724
346,45.7074293276,44.6023701283
347,45.8460364561,45.0154379797
348,45.791242166,44.711710208
349,45.984945553,44.8499027904
350,45.7621518057,44.8229158487
351,45.7347847219,44.711710208
352,45.7074293276,44.7403363557
353,45.7347847219,44.7672898351
354,45.5964177722,44.5486065736
355,45.5128585044,44.5754829743
356,45.5401312664,44.6292680566
357,45.4294071511,44.4663642677
358,45.5128585044,44.5200621565
359,45.5128585044,44.5200621565
360,45.5128585044,44.4932078677
361,45.4855972486,44.5200621565
362,45.4566447464,44.4663642677
363,45.4855972486,44.4932078677
364,45.4294071511,44.4663642677
365,45.4294071511,44.437854631
366,45.4294071511,44.437854631
367,45.4294071511,44.437854631
368,45.4294071511,44.437854631
369,45.4021809933,44.4110330105
370,45.373265708,44.4110330105
371,45.34606307,44.4110330105
372,45.4021809933,44.3842220146
373,45.34606307,44.3289578014
374,45.3188718015,44.3574216226
375,45.3188718015,44.3289578014
376,45.3188718015,44.302179214
377,45.2916918804,44.3289578014
378,45.3188718015,44.302179214
379,45.2916918804,44.2469816425
380,45.2628256228,44.2469816425
381,45.2916918804,44.2469816425
382,45.2085237286,44.2202352691
383,45.2356690358,44.2202352691
384,45.2085237286,44.2469816425
385,45.2085237286,44.2202352691
386,45.2916918804,44.1934993726
387,45.2628256228,44.1934993726
388,45.1796941743,44.138389586
389,45.1796941743,44.165103939
390,45.1796941743,44.1116856468
391,45.1796941743,44.1116856468
392,45.1254611626,44.1116856468
393,45.1254611626,44.165103939
394,45.0983614536,44.1116856468
395,45.0983614536,44.1116856468
396,45.0983614536,44.084992101
397,45.0695802501,44.1116856468
398,45.0695802501,44.0566415737
399,45.0695802501,44.0566415737
400,45.0425035529,44.0566415737
401,45.0983614536,44.0299693997
402,45.0154379797,44.0033075564
403,45.0154379797,44.0033075564
404,45.0154379797,44.0299693997
405,44.9883835087,44.0033075564
406,45.0154379797,44.0033075564
407,44.9596502737,44.0033075564
408,44.9596502737,43.9749906446
409,44.9326186325,43.9749906446
410,44.9055980273,43.9483500444
411,44.9055980273,43.9483500444
412,44.9055980273,43.9483500444
413,44.9055980273,43.9483500444
414,44.8769007021,43.8668269972
415,44.8499027904,43.8668269972
416,44.8499027904,43.8668269972
417,44.8769007021,43.8402279871
418,44.8499027904,43.8136391635
419,44.7403363557,43.6775305737
420,44.7403363557,43.6775305737
421,44.6040509329,43.6775305737
422,44.5754829743,43.5698275621
423,44.5754829743,43.5152107122
424,44.5754829743,43.6510037044
425,44.6040509329,43.6775305737
426,44.7672898351,43.6775305737
427,44.4663642677,43.5152107122
428,44.7672898351,43.5698275621
429,44.6309495353,43.624486879
430,44.5486065736,43.5698275621
431,44.6040509329,43.6510037044
432,44.5486065736,43.6510037044
433,44.7133937594,43.5433413725
434,44.7403363557,43.624486879
435,44.6309495353,43.5963237349
436,44.6309495353,43.5963237349
437,44.6040509329,43.5698275621
438,44.6040509329,43.5698275621
439,44.6309495353,43.5698275621
440,44.5486065736,43.5698275621
441,44.5486065736,43.5433413725
442,44.5486065736,43.5963237349
443,44.6309495353,43.5963237349
444,44.7672898351,43.5963237349
445,44.7403363557,43.7040675067
446,44.8229158487,43.5433413725
447,44.5754829743,43.5698275621
448,44.6040509329,43.5152107122
449,44.4395313355,43.3549144957
450,44.4395313355,43.4622893106
451,44.4395313355,43.4358434739
452,44.4395313355,43.4358434739
453,44.4663642677,43.407755601
454,44.4127090502,43.4358434739
455,44.3574216226,43.1126781114
456,44.4127090502,43.300463258
457,44.3038525667,43.2196881429
458,44.3574216226,43.3268586503
459,44.2219066103,43.2196881429
460,44.4127090502,43.3549144957
461,44.3574216226,43.3268586503
462,44.3306318135,43.3268586503
463,44.3306318135,43.3268586503
464,44.3574216226,43.3268586503
465,44.3574216226,43.3268586503
466,44.385897391,43.300463258
467,44.4395313355,43.4358434739
468,44.4663642677,43.4622893106
469,44.5486065736,43.5152107122
470,44.3306318135,43.407755601
471,44.3038525667,43.3268586503
472,44.2486536392,43.3268586503
473,44.3038525667,43.2460536362
474,44.3038525667,43.1669863072
475,44.2486536392,43.193332373
476,44.1951700596,43.193332373
477,44.2219066103,43.1390042235
478,44.2219066103,43.1390042235
479,44.1667739323,43.1669863072
480,44.1667739323,43.1126781114
481,44.1667739323,43.0863616443
482,44.0583089281,43.0058272607
483,44.0316361077,42.9253826054
484,44.1133543383,42.9795497788
485,43.8967630847,42.8991343038
486,44.0049736193,42.9516404156
487,44.1951700596,43.0321143095
488,44.0866601435,43.1126781114
489,44.1133543383,43.0321143095
490,44.1133543383,43.0321143095
491,44.0866601435,43.0058272607
492,44.1133543383,43.0058272607
493,44.0866601435,42.9795497788
494,44.1133543383,43.0058272607
495,44.0866601435,42.9516404156
496,44.1133543383,43.0058272607
497,44.2219066103,43.0584109445
498,44.0866601435,43.0321143095
499,44.2219066103,43.2460536362
500,44.2486536392,43.1126781114
501,44.0316361077,42.9253826054
502,43.9766560236,43.0058272607
503,44.1133543383,42.9795497788
504,43.9500147809,42.7385698144
505,44.0049736193,42.8712558806
506,43.9500147809,42.8712558806
507,43.9500147809,42.8188078305
508,43.923383808,42.8188078305
509,43.9500147809,42.7909601581
510,43.923383808,42.8188078305
511,43.8967630847,42.8188078305
512,43.7604919952,42.6322672013
513,43.8153006669,42.6044903441
514,43.5714832803,42.4983811008
515,43.8418901266,42.7385698144
516,43.7339336105,42.5783569877
517,43.7870605062,42.6044903441
518,43.6791888369,42.7123887124
519,43.8153006669,42.6845815413
520,43.8153006669,42.6044903441
521,43.7870605062,42.7123887124
522,43.8418901266,42.6845815413
523,43.7870605062,42.7123887124
524,43.7870605062,42.6584197132
525,43.7870605062,42.6584197132
526,43.8153006669,42.6584197132
527,43.7870605062,42.6584197132
528,43.8967630847,42.8991343038
529,43.9500147809,42.76476029
530,44.1667739323,42.9516404156
531,43.8153006669,42.6845815413
532,43.7870605062,42.6584197132
533,43.8153006669,42.5783569877
534,43.8153006669,42.6322672013
535,43.8153006669,42.5783569877
536,43.7339336105,42.4983811008
537,43.7339336105,42.4983811008
538,43.6791888369,42.5522328901
539,43.6791888369,42.4722852429
540,43.6791888369,42.4983811008
541,43.6526613393,42.4722852429
542,43.6526613393,42.4722852429
543,43.5996364594,42.4722852429
544,43.463942504,42.232956962
545,43.5185196187,42.2866169794
546,43.5185196187,42.2605952023
547,43.4374960489,42.232956962
548,43.4903988631,42.4184915183
549,43.5185196187,42.3386877082
550,43.5714832803,42.3924237261
551,43.5996364594,42.3924237261
552,43.5996364594,42.3924237261
553,43.5714832803,42.3924237261
554,43.5714832803,42.3924237261
555,43.5714832803,42.3663650606
556,43.6791888369,42.5522328901
557,43.6526613393,42.4983811008
558,43.7073853319,42.4983811008
559,43.5996364594,42.3924237261
560,43.5185196187,42.3663650606
561,43.4903988631,42.2605952023
562,43.5185196187,42.2605952023
563,43.463942504,42.2605952023
564,43.4903988631,42.232956962
565,43.4374960489,42.2605952023
566,43.3301587632,42.1014082564
567,43.2229832974,41.8891395872
568,43.3037621466,41.9960099675
569,43.3037621466,42.1809596281
570,43.4374960489,42.1273749882
571,43.4374960489,42.206953797
572,43.4374960489,42.206953797
573,43.4374960489,42.1809596281
574,43.4374960489,42.2605952023
575,43.4110594783,42.1533506602
576,43.6261438867,42.4184915183
577,43.6526613393,42.3663650606
578,43.5714832803,42.3386877082
579,43.5714832803,42.3386877082
580,43.463942504,42.1533506602
581,43.3829814305,42.232956962
582,43.2229832974,42.1533506602
583,43.3301587632,42.0478800301
584,43.3037621466,42.0478800301
585,43.3301587632,42.0478800301
586,43.3037621466,42.0478800301
587,43.275726463,42.0219405654
588,43.275726463,42.0219405654
589,43.0880061413,41.8373774678
590,43.0880061413,41.8373774678
591,43.1686326524,41.9425560354
592,43.1686326524,41.8632541491
593,43.2229832974,41.9425560354
594,43.0880061413,41.9425560354
595,43.1949793241,41.9166524799
596,43.2229832974,41.9166524799
597,43.2493500075,41.9425560354
598,43.2229832974,41.9425560354
599,43.2493500075,41.9425560354
600,43.2229832974,41.8891395872
601,43.2229832974,41.8891395872
602,43.2229832974,41.9166524799
603,43.2229832974,41.8632541491
604,43.2493500075,41.8891395872
605,43.1686326524,41.8632541491
606,43.3565651846,42.0738283797
607,43.275726463,42.0738283797
608,43.3301587632,42.1533506602
609,43.4374960489,42.1273749882
610,43.2229832974,41.8632541491
611,43.2493500075,42.0478800301
612,43.1949793241,41.8373774678
613,43.2493500075,41.8632541491
614,43.1159683476,41.8115095253
615,43.0880061413,41.7323431264
616,43.1159683476,41.6532580104
617,43.0880061413,41.7323431264
618,43.0880061413,41.7323431264
619,43.0616986989,41.6790728156
620,43.0354008643,41.6532580104
621,43.0616986989,41.6790728156
622,43.0880061413,41.6532580104
623,43.0091126182,41.6258392161
624,43.0091126182,41.6790728156
625,42.8745351398,41.5210919264
626,42.8483052069,41.3650379385
627,42.8220847268,41.6258392161
628,42.9549233114,41.6258392161
629,42.8220847268,41.4422216265
630,42.9007745444,41.4953295951
631,42.8745351398,41.5210919264
632,42.9007745444,41.5210919264
633,42.9286643113,41.6000421545
634,42.9286643113,41.5742536688
635,42.9286643113,41.6258392161
636,43.0091126182,41.5484737415
637,42.9549233114,41.5742536688
638,42.9286643113,41.5484737415
639,42.9549233114,41.5484737415
640,42.9286643113,41.5484737415
641,42.9286643113,41.5210919264
642,43.0091126182,41.6000421545
643,43.0091126182,41.6000421545
644,43.1159683476,41.7840343917
645,43.0880061413,41.6790728156
646,42.9286643113,41.5210919264
647,43.0091126182,41.6000421545
648,42.9811918415,41.5210919264
649,42.8745351398,41.4953295951
650,42.9286643113,41.5484737415
651,42.794235803,41.3120181203
652,42.8220847268,41.4422216265
653,42.794235803,41.4422216265
654,42.8220847268,41.390757395
655,42.794235803,41.3650379385
656,42.794235803,41.3650379385
657,42.7680347594,41.3650379385
658,42.7418431108,41.3120181203
659,42.5816231505,41.0506523607
660,42.5816231505,41.1291320897
661,42.6077576657,41.0250430174
662,42.6077576657,41.0250430174
663,42.6878524258,41.2863243837
664,42.6355357564,41.0506523607
665,42.7418431108,41.3120181203
666,42.6355357564,41.1547748729
667,42.6878524258,41.2590339517
668,42.6077576657,41.2590339517
669,42.7156608382,41.2590339517
670,42.7156608382,41.2590339517
671,42.6878524258,41.2590339517
672,42.6616894319,41.180425931
673,42.6878524258,41.180425931
674,42.6616894319,41.1547748729
675,42.6878524258,41.1547748729
676,42.6616894319,41.1291320897
677,42.8220847268,41.390757395
678,42.794235803,41.4164852852
679,42.6878524258,41.390757395
680,42.6878524258,41.1547748729
681,42.7156608382,41.2590339517
682,42.6616894319,41.2333574451
683,42.7156608382,41.1547748729
684,42.6616894319,41.0762699092
685,42.5816231505,41.0250430174
686,42.5816231505,41.1291320897
687,42.5816231505,41.0250430174
688,42.6355357564,41.0250430174
689,42.5554978966,40.9978420614
690,42.5293818853,40.9978420614
691,42.5293818853,40.9978420614
692,42.5293818853,40.9978420614
693,42.4494589011,40.7901381981
694,42.5016437297,40.8683638222
695,42.3956817006,40.8428124481
696,42.4217506349,40.7901381981
697,42.4217506349,40.8428124481
698,42.4494589011,40.8939232803
699,42.5016437297,40.9466652664
700,42.5016437297,40.9978420614
701,42.5016437297,40.9466652664
702,42.4755467225,40.9210890813
703,42.5016437297,40.9210890813
704,42.4755467225,40.9210890813
705,42.4494589011,40.9722495874
706,42.4755467225,40.8939232803
707,42.4755467225,40.8939232803
708,42.5816231505,41.1291320897
709,42.6878524258,41.180425931
710,42.7156608382,41.103497564
711,42.4755467225,41.0250430174
712,42.5293818853,41.0506523607
713,42.4217506349,40.9210890813
714,42.4755467225,40.8156729521
715,42.3435712007,40.7374981172
716,42.3696218953,40.7901381981
717,42.3696218953,40.8156729521
718,42.3159022996,40.7901381981
719,42.3696218953,40.7646114765
720,42.3696218953,40.7646114765
721,42.3159022996,40.7901381981
722,42.3435712007,40.7119879094
723,42.3159022996,40.7119879094
724,42.3159022996,40.6864856826
725,42.1842084078,40.5829646081
726,42.0786946858,40.4017186096
727,42.26384743,40.5559114101
728,42.1046536096,40.6084345844
729,42.2898703376,40.5829646081
730,42.1046536096,40.6084345844
731,42.26384743,40.5829646081
732,42.2898703376,40.6084345844
733,42.1582220955,40.5559114101
734,42.1842084078,40.5559114101
735,42.2102037003,40.6084345844
736,42.2378335584,40.6084345844
737,42.26384743,40.6084345844
738,42.2378335584,40.6084345844
739,42.26384743,40.5829646081
740,42.2378335584,40.5829646081
741,42.2378335584,40.5829646081
742,42.1842084078,40.5829646081
743,42.2102037003,40.5829646081
744,42.1842084078,40.5829646081
745,42.1582220955,40.5559114101
746,42.1842084078,40.5559114101
747,42.1582220955,40.5559114101
748,42.2102037003,40.5559114101
749,42.3159022996,40.6084345844
750,42.3159022996,40.7119879094
751,42.2378335584,40.6864856826
752,42.2898703376,40.6084345844
753,42.3696218953,40.5559114101
754,42.2898703376,40.7119879094
755,42.1842084078,40.505011856
756,42.3159022996,40.6339124736
